Vehicle ID,Fuel ID,Fuel Configuration ID,Manufacturer ID,Model,Model Year,Alternative Fuel Economy City,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Combined,Manufacturer,Category,Fuel Code,Fuel,Drivetrain
12251,41,1.0,237,Model 3 Standard Range Plus,2019,140.0,133.0,,,Tesla,Sedan/Wagon,ELEC,Electric,
12177,41,1.0,237,Model S 100D,2019,101.0,102.0,,,Tesla,Sedan/Wagon,ELEC,Electric,
12178,41,1.0,237,Model S 75D,2019,102.0,103.0,,,Tesla,Sedan/Wagon,ELEC,Electric,
12249,41,1.0,237,Model S Long Range,2019,115.0,111.0,,,Tesla,Sedan/Wagon,ELEC,Electric,
12176,41,1.0,237,Model S P100D,2019,92.0,98.0,,,Tesla,Sedan/Wagon,ELEC,Electric,
12248,41,1.0,237,"Model S Performance (19"" Wheels)",2019,104.0,104.0,,,Tesla,Sedan/Wagon,ELEC,Electric,
12258,41,1.0,237,Model S Standard Range,2019,113.0,109.0,,,Tesla,Sedan/Wagon,ELEC,Electric,
12174,41,1.0,237,Model X 100D,2019,86.0,87.0,,,Tesla,SUV,ELEC,Electric,
12173,41,1.0,237,Model X 75D,2019,91.0,93.0,,,Tesla,SUV,ELEC,Electric,
12256,41,1.0,237,Model X Long Range,2019,99.0,96.0,,,Tesla,SUV,ELEC,Electric,
12175,41,1.0,237,Model X P100D,2019,83.0,85.0,,,Tesla,SUV,ELEC,Electric,
12257,41,1.0,237,"Model X Performance (22"" Wheels)",2019,80.0,79.0,,,Tesla,SUV,ELEC,Electric,
12050,45,9.0,221,Avalon Hybrid,2019,,,43.0,43.0,Toyota,Sedan/Wagon,HYBR,Hybrid Electric,
12051,45,9.0,221,Avalon Hybrid XLE,2019,,,43.0,44.0,Toyota,Sedan/Wagon,HYBR,Hybrid Electric,
12157,45,9.0,221,Camry Hybrid LE,2019,,,51.0,52.0,Toyota,Sedan/Wagon,HYBR,Hybrid Electric,
12158,45,9.0,221,Camry Hybrid XLE/SE,2019,,,44.0,46.0,Toyota,Sedan/Wagon,HYBR,Hybrid Electric,
